ID,Description,GeneRatio,BgRatio,pvalue,Count,geneID,p.adjust
GOBP_CIRCULATORY_SYSTEM_PROCESS,An organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism. [GOC:mtg_cardio],33/345,428/15026,1.1459881875394637e-9,33,CACNA1G/NEDD4L/PTGS2/TGFB2/BDKRB1/HTR2A/SLC7A5/CORO2B/TRPA1/SCN1B/CXCL12/ASIC2/VEGFA/TBX18/RAMP3/AMOT/ADM2/FGF13/SLC6A6/PER2/AGT/IER3/ADRA2A/CLIC2/SPTBN4/ADORA1/ARHGAP42/BDKRB2/SGCD/KCNE3/HSD11B2/KCND2/SLC6A9,3.209912913298038e-6
GOBP_AXON_DEVELOPMENT,"The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation). [GOC:dph, GOC:pg, GOC:pr]",30/345,398/15026,1.1428109324524873e-8,30,FGFR2/SEMA3A/PAK3/TGFB2/RPS6KA5/SCN1B/CXCL12/LGI1/RND2/VEGFA/PLPPR4/EGR2/FLRT3/FGF13/EPHB2/NGF/SEMA6D/CRABP2/VASH2/EPHA5/KIAA1755/KALRN/SPTBN4/CCKAR/ADCY1/ROBO1/JUN/EPHB3/SLITRK6/PLEKHG4,1.4747224034573541e-5
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,"Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue. [GOC:ai]",26/345,317/15026,2.0544511211030023e-8,26,SLC7A5/IGDCC4/WNT2/MEST/CXCL12/ASIC2/RND2/VEGFA/EGR2/FLRT3/LIF/FGF13/PER2/EPHB2/NGF/SEMA6D/CRABP2/DUSP10/LRRTM2/TENM4/IL34/ROBO1/LRRC15/LRRN1/EPHB3/SLITRK6,1.4747224034573541e-5
GOBP_REGULATION_OF_BLOOD_CIRCULATION,"Any process that modulates the frequency, rate or extent of blood circulation. [GO_REF:0000058, GOC:mr, GOC:TermGenie, PMID:10659969]",19/345,175/15026,2.1059941498855467e-8,19,CACNA1G/TGFB2/HTR2A/TRPA1/SCN1B/ASIC2/TBX18/ADM2/FGF13/PER2/AGT/ADRA2A/CLIC2/SPTBN4/ADORA1/ARHGAP42/BDKRB2/KCNE3/KCND2,1.4747224034573541e-5
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,"Any process that activates, maintains or increases the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue. [GOC:ai]",20/345,203/15026,4.644587227908698e-8,20,SLC7A5/WNT2/CXCL12/ASIC2/RND2/VEGFA/EGR2/FLRT3/LIF/EPHB2/NGF/CRABP2/LRRTM2/TENM4/IL34/ROBO1/LRRC15/LRRN1/EPHB3/SLITRK6,2.601897765074453e-5
GOBP_REGULATION_OF_SYSTEM_PROCESS,"Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system. [GOC:jl]",27/345,381/15026,2.224927221660682e-7,27,CACNA1G/FGF10/TGFB2/HTR2A/CORO2B/TRPA1/SCN1B/ASIC2/TBX18/EGR2/ADM2/FGF13/PER2/AGT/CCN3/TENM4/ADRA2A/CLIC2/SPTBN4/ADORA1/PI16/ARHGAP42/BDKRB2/KCNE3/KCNB2/GRIN2A/KCND2,1.0386701913119283e-4
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION,"The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron. [GOC:dph, GOC:tb]",30/345,463/15026,3.2413343558421826e-7,30,NEDD4L/FGFR2/SEMA3A/PAK3/TGFB2/RPS6KA5/SCN1B/CXCL12/LGI1/RND2/VEGFA/PLPPR4/EGR2/FLRT3/FGF13/EPHB2/NGF/SEMA6D/CRABP2/EPHA5/KIAA1755/TNIK/KALRN/SPTBN4/CCKAR/ADCY1/ROBO1/EPHB3/SLITRK6/PLEKHG4,1.0630075218204935e-4
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,"Any process that modulates the levels of body fluids. [GOC:ai, GOC:dph, GOC:tb]",22/345,275/15026,3.9800320305150105e-7,22,TSPAN32/FGF10/HTR2A/CORO2B/VEGFA/PLA2G4A/NFE2/ADM2/ADCY4/PRRG3/EPHB2/DGKB/ADRA2A/SLC7A11/MERTK/ADCY8/ADORA1/ADCY1/AQP3/PRKCE/HSD11B2/RAP2B,1.0630075218204935e-4
GOBP_NEURON_PROJECTION_GUIDANCE,"The process in which the migration of a neuron projection is directed to a specific target site in response to a combination of attractive and repulsive cues. [GOC:BHF, GOC:rl, PMID:22790009]",17/345,170/15026,3.882903776062795e-7,17,SEMA3A/TGFB2/RPS6KA5/SCN1B/CXCL12/LGI1/VEGFA/EGR2/FLRT3/EPHB2/SEMA6D/EPHA5/KIAA1755/KALRN/ROBO1/EPHB3/PLEKHG4,1.0630075218204935e-4
GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,"Any process that modulates the frequency, rate or extent of animal organ morphogenesis. [GOC:obol]",10/345,55/15026,4.1746100464210743e-7,10,FGF10/WNT2/VEGFA/SOX9/AGT/SFRP2/RSPO2/TNFRSF11B/ROBO1/LGR4,1.0630075218204935e-4
GOBP_SENSORY_PERCEPTION_OF_PAIN,"The series of events required for an organism to receive a painful stimulus, convert it to a molecular signal, and recognize and characterize the signal. A painful stimulus is any physical or chemical event that has the potential to cause tissue damage (actual or perceived) and activates the nociceptive system. [GOC:curators]",10/345,53/15026,2.8988459136797465e-7,10,LXN/P2RX7/HTR2A/TRPA1/CXCL12/NGF/CCN3/ADORA1/GRIN2A/KCND2,1.0630075218204935e-4
GOBP_TAXIS,"The directed movement of a motile cell or organism in response to an external stimulus. [GOC:jl, ISBN:0192801023]",23/345,303/15026,5.474646927983242e-7,23,FGF10/SEMA3A/TGFB2/CXCL12/CCL7/CCL8/VEGFA/TNFAIP6/FLRT3/AMOT/ACKR4/LSP1/ENPP2/CCN3/SEMA6D/CH25H/NRG1/IL34/VCAM1/IL12A/ROBO1/S1PR1/EGR3,1.277873837106755e-4
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,"Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:jl]",21/345,263/15026,7.57188987481228e-7,21,NEDD4L/CAMK2A/P2RX7/BDKRB1/HTR2A/TRPA1/SCN1B/CXCL12/ASIC2/KCNS1/MCHR1/FGF13/NGF/AGT/ADRA2A/CLIC2/SPTBN4/ADORA1/PRKCE/KCNE3/GRIN2A,1.6314510414883995e-4
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,"Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the MAPK cascade. [GOC:go_curators]",24/345,334/15026,8.333937813409965e-7,24,CDON/FGFR2/FGF10/SEMA3A/P2RX7/TGFB2/RASSF2/HTR2A/VEGFA/RAMP3/LIF/GADD45G/GDF15/NGF/ADRA2A/TNIK/NRG1/IL34/ADORA1/NEK10/BMPER/ROBO1/PRKCE/JUN,1.6673828439543796e-4
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,"The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane. [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]",29/345,464/15026,1.0730513508491093e-6,29,CAMK2A/BDKRB1/HTR2A/CXCL12/CCL7/CCL8/VEGFA/PLPPR4/GPR68/RAMP3/ADM2/MCHR1/ACKR4/ADCY4/AGT/DGKB/ADRA2A/ADCY8/CCKAR/ADORA1/ADCY1/BDKRB2/ROBO1/S1PR1/RXFP1/KCTD12/RGS6/GNG2/LGR4,2.0037445558189032e-4
