ID,Term,GeneRatio,BgRatio,pvalue,Count,geneID,p.adjust
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFA Signaling via NFkB,26/415,175/15026,2.28193941549205e-12,26,CFLAR/KLF6/GADD45B/TSC22D1/NAMPT/MAP3K8/KLF9/NR4A3/DUSP1/NR4A1/SAT1/GFPT2/GCH1/DUSP5/CCN1/RHOB/RCAN1/DNAJB4/ATF3/PDLIM5/PTX3/NFIL3/PER1/MAFF/IRS2/CEBPD,1.0725115252812635e-10
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,20/415,197/15026,5.577535639116962e-7,20,COL11A1/FSTL3/GADD45B/ACTA2/COL7A1/IGFBP2/CCN2/SAT1/THBS1/FBN2/CCN1/RHOB/TAGLN/PTX3/NNMT/ANPEP/FZD8/OXTR/COL4A1/LAMA2,1.310720875192486e-5
HALLMARK_HYPOXIA,Hypoxia,15/415,175/15026,1.0492584805748898e-4,15,KLF6/ERRFI1/CCN2/FOXO3/DUSP1/MT2A/CCN1/STC1/ATF3/SAP30/CITED2/NFIL3/MT1E/MAFF/IRS2,0.001643838286233994
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,12/415,161/15026,0.001724913689650841,12,PDK4/HSD11B1/MT2A/GCH1/AOX1/XDH/PDLIM5/SPINT2/DCXR/ATP2A2/MAOA/ADH1C,0.019431330263104143
HALLMARK_UV_RESPONSE_DN,UV Response Down,11/415,143/15026,0.002067162793947249,11,COL11A1/AMPH/DUSP1/CCN1/DDAH1/PDLIM5/TGFBR2/APBB2/CITED2/MT1E/ANXA4,0.019431330263104143
HALLMARK_ADIPOGENESIS,Adipogenesis,13/415,191/15026,0.0025353765644207794,13,SORBS1/OMD/TST/SQOR/PREB/SLC5A6/STOM/SPARCL1/FABP4/LEP/COL4A1/GPX3/CD302,0.019860449754629438
HALLMARK_P53_PATHWAY,P53 Pathway,12/415,184/15026,0.005141534480502213,12,CD82/TSC22D1/ZBTB16/FOXO3/SAT1/STOM/ATF3/INHBB/DCXR/TM4SF1/ALOX15B/ABAT,0.025836946115419573
HALLMARK_IL2_STAT5_SIGNALING,IL2 STAT5 Signaling,11/415,159/15026,0.004680569692706663,11,KLF6/GADD45B/MAP3K8/BATF3/NCOA3/RHOB/DHRS3/NFIL3/MAFF/ANXA4/ENPP1,0.025836946115419573
HALLMARK_UV_RESPONSE_UP,UV Response Up,10/415,140/15026,0.005497222577748845,10,GLS/IGFBP2/NR4A1/HSPA2/TST/GCH1/RHOB/ATF3/MAOA/GPX3,0.025836946115419573
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Down,8/415,97/15026,0.005377442160389202,8,FGF22/PRODH/ZBTB16/IGFBP2/EFHD1/IFI44L/ITIH3/GDNF,0.025836946115419573
HALLMARK_APOPTOSIS,Apoptosis,10/415,142/15026,0.006065178629388311,10,CFLAR/GADD45B/NEDD9/SAT1/GCH1/GUCY2D/RHOB/ATF3/HMGB2/GPX3,0.025914854143750055
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,10/415,148/15026,0.008046429604327521,10,PRDM1/MMD/HSD11B1/GFPT2/SPARCL1/TMEM100/GPRC5B/BTC/APOD/ITGBL1,0.03151518261694946
HALLMARK_MYOGENESIS,Myogenesis,10/415,152/15026,0.009621483075824893,10,DAPK2/SORBS1/ABLIM1/GADD45B/KLF5/TAGLN/ACSL1/APOD/LAMA2/GPX3,0.03478536188952077
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,9/415,138/15026,0.014416965972974457,9,KLF6/SCARF1/CD82/NAMPT/GCH1/RNF144B/PDPN/FZD5/ATP2A2,0.045173160048653294
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,7/415,92/15026,0.013669604169130932,7,FKBP5/TSC22D1/STEAP4/SAT1/SLC38A2/ADAMTS1/PDLIM5,0.045173160048653294
