pathway,mean_untrt,mean_trt,mean_delta,p_value,padj
Androgen,-0.9214843079342384,0.9214843079342384,1.8429686158684768,0.0015362955954623095,0.010754069168236166
p53,0.7830984698160112,-0.7830984698160055,-1.5661969396320166,0.0011747629207079287,0.010754069168236166
TGFb,-0.5441277952365455,0.5441277952365455,1.088255590473091,0.21439147823596544,0.5441341525179506
MAPK,-0.45597815191170493,0.45597815191169994,0.9119563038234049,0.159917103797185,0.5441341525179506
JAK-STAT,0.41352109230938855,-0.4135210923093612,-0.8270421846187497,0.23320035107912168,0.5441341525179506
WNT,0.3575225195094332,-0.3575225195094279,-0.7150450390188611,0.423646429620848,0.741381251836484
NFkB,-0.2185010657324647,0.21850106573248382,0.43700213146494854,0.11461853752240929,0.5348865084379101
VEGF,0.2089031157041215,-0.2089031157041205,-0.417806231408242,0.3015305244604891,0.6030610489209782
Hypoxia,-0.2044979171248594,0.20449791712485943,0.40899583424971886,0.6654347500556803,0.8139528387058527
PI3K,0.17282409101274718,-0.1728240910127638,-0.34564818202551095,0.5801760555619683,0.8139528387058527
EGFR,-0.11674741799582951,0.11674741799582762,0.23349483599165716,0.7558133502268632,0.8139528387058527
Estrogen,0.05242556291536031,-0.052425562915355696,-0.10485112583071596,0.9081174372588809,0.9081174372588809
TNFa,-0.045439312083409594,0.045439312083422986,0.09087862416683258,0.6796236656842272,0.8139528387058527
Trail,-0.042485772138189326,0.042485772138204196,0.08497154427639352,0.7328710317984091,0.8139528387058527
